batch_timestamp,machine,dataset,group,n_rows,n_train,n_test,n_features,k,algorithm,run,time_seconds,accuracy_pct
20260327_120533,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_brute,1,0.01488946700010274,55.00000000000001
20260327_120533,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_brute,2,0.0018251710007461952,55.00000000000001
20260327_120533,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_brute,3,0.0004803459996765014,55.00000000000001
20260327_120533,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_brute,4,0.0004717860001619556,55.00000000000001
20260327_120533,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_brute,5,0.0006394910005838028,55.00000000000001
20260327_120533,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_brute,6,0.0004183999999440857,55.00000000000001
20260327_120533,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_brute,7,0.0004267229996912647,55.00000000000001
20260327_120533,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_brute,8,0.0004276289992048987,55.00000000000001
20260327_120533,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_brute,9,0.0005281909998302581,55.00000000000001
20260327_120533,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_brute,10,0.0004303919995436445,55.00000000000001
20260327_120533,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_kdtree,1,0.0007800129997121985,55.00000000000001
20260327_120533,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_kdtree,2,0.00048534800043853465,55.00000000000001
20260327_120533,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_kdtree,3,0.00043969699981971644,55.00000000000001
20260327_120533,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_kdtree,4,0.00043395500051701674,55.00000000000001
20260327_120533,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_kdtree,5,0.00041842700011329725,55.00000000000001
20260327_120533,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_kdtree,6,0.0004362900008345605,55.00000000000001
20260327_120533,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_kdtree,7,0.0004122259997529909,55.00000000000001
20260327_120533,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_kdtree,8,0.000441258000137168,55.00000000000001
20260327_120533,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_kdtree,9,0.00040089499998430256,55.00000000000001
