batch_timestamp,machine,dataset,group,n_rows,n_train,n_test,n_features,k,algorithm,run,time_seconds,accuracy_pct
20260424_115152,ECS-CSH-308-18,aapl_rc_1k,aapl_runtime_complexity,1000,800,200,16,5,sklearn_brute,1,0.02931198599981144,51.5
20260424_115152,ECS-CSH-308-18,aapl_rc_1k,aapl_runtime_complexity,1000,800,200,16,5,sklearn_brute,2,0.001820211999984167,51.5
20260424_115152,ECS-CSH-308-18,aapl_rc_1k,aapl_runtime_complexity,1000,800,200,16,5,sklearn_brute,3,0.0016937460000008286,51.5
20260424_115152,ECS-CSH-308-18,aapl_rc_1k,aapl_runtime_complexity,1000,800,200,16,5,sklearn_brute,4,0.0015596960001857951,51.5
20260424_115152,ECS-CSH-308-18,aapl_rc_1k,aapl_runtime_complexity,1000,800,200,16,5,sklearn_brute,5,0.0015291290001187008,51.5
20260424_115152,ECS-CSH-308-18,aapl_rc_1k,aapl_runtime_complexity,1000,800,200,16,5,sklearn_brute,6,0.003158815999995568,51.5
20260424_115152,ECS-CSH-308-18,aapl_rc_1k,aapl_runtime_complexity,1000,800,200,16,5,sklearn_brute,7,0.0014205469997250475,51.5
20260424_115152,ECS-CSH-308-18,aapl_rc_1k,aapl_runtime_complexity,1000,800,200,16,5,sklearn_brute,8,0.0015576449995933217,51.5
20260424_115152,ECS-CSH-308-18,aapl_rc_1k,aapl_runtime_complexity,1000,800,200,16,5,sklearn_kdtree,1,0.0026307480002287775,51.5
20260424_115152,ECS-CSH-308-18,aapl_rc_1k,aapl_runtime_complexity,1000,800,200,16,5,sklearn_kdtree,2,0.00172732700002598,51.5
20260424_115152,ECS-CSH-308-18,aapl_rc_1k,aapl_runtime_complexity,1000,800,200,16,5,sklearn_kdtree,3,0.0016933249999055988,51.5
20260424_115152,ECS-CSH-308-18,aapl_rc_1k,aapl_runtime_complexity,1000,800,200,16,5,sklearn_kdtree,4,0.001723853999919811,51.5
20260424_115152,ECS-CSH-308-18,aapl_rc_1k,aapl_runtime_complexity,1000,800,200,16,5,sklearn_kdtree,5,0.001696345999789628,51.5
20260424_115152,ECS-CSH-308-18,aapl_rc_1k,aapl_runtime_complexity,1000,800,200,16,5,sklearn_kdtree,6,0.0016807280003376945,51.5
20260424_115152,ECS-CSH-308-18,aapl_rc_1k,aapl_runtime_complexity,1000,800,200,16,5,sklearn_kdtree,7,0.001667056999849592,51.5
20260424_115152,ECS-CSH-308-18,aapl_rc_1k,aapl_runtime_complexity,1000,800,200,16,5,sklearn_kdtree,8,0.0017206229999828793,51.5
20260424_115152,ECS-CSH-308-18,aapl_rc_1k,aapl_runtime_complexity,1000,800,200,16,5,kdtree_build,0,0.000206677,
