batch_timestamp,machine,dataset,group,n_rows,n_train,n_test,n_features,k,algorithm,run,time_seconds,accuracy_pct
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,kdtree_simd,10,4.024e-06,55.00000000000001
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,sklearn_brute,1,0.007642022000254656,40.5
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,sklearn_brute,2,0.0038020709998818347,40.5
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,sklearn_brute,3,0.0031197680000332184,40.5
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,sklearn_brute,4,0.0029873339999539894,40.5
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,sklearn_brute,5,0.007076517999848875,40.5
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,sklearn_brute,6,0.00325696500021877,40.5
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,sklearn_brute,7,0.0019318049999128561,40.5
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,sklearn_brute,8,0.0020671560005212086,40.5
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,sklearn_brute,9,0.0015252870007316233,40.5
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,sklearn_brute,10,0.0025121879998550867,40.5
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,sklearn_kdtree,1,0.0012055509996571345,40.5
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,sklearn_kdtree,2,0.0011780240001826314,40.5
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,sklearn_kdtree,3,0.0011674310007947497,40.5
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,sklearn_kdtree,4,0.0011430710001150146,40.5
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,sklearn_kdtree,5,0.001149377000729146,40.5
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,sklearn_kdtree,6,0.0011309070005154354,40.5
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,sklearn_kdtree,7,0.0011935109996557003,40.5
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,sklearn_kdtree,8,0.0011341829995217267,40.5
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,sklearn_kdtree,9,0.0011600610005189083,40.5
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,sklearn_kdtree,10,0.0011554870006875717,40.5
20260327_113737,ECS-CSH-308-18,aapl_1k,aapl_scaling,1000,800,200,16,5,kdtree_build,0,0.000270778,
